Código Región;Comuna;Código Comuna
01;Alto Hospicio;01107
01;Camina;01402
01;Colchane;01403
01;Huara;01404
01;Iquique;01101
01;Pica;01405
01;Pozo Almonte;01401
02;Antofagasta;02101
02;Calama;02201
02;Maria Elena;02302
02;Mejillones;02102
02;Ollague;02202
02;San Pedro de Atacama;02203
02;Sierra Gorda;02103
02;Taltal;02104
02;Tocopilla;02301
03;Alto del Carmen;03302
03;Caldera;03102
03;Chanaral;03201
03;Copiapo;03101
03;Diego de Almagro;03202
03;Freirina;03303
03;Huasco;03304
03;Tierra Amarilla;03103
03;Vallenar;03301
04;Andacollo;04103
04;Canela;04202
04;Combarbala;04302
04;Coquimbo;04102
04;Illapel;04201
04;La Higuera;04104
04;La Serena;04101
04;Los Vilos;04203
04;Monte Patria;04303
04;Ovalle;04301
04;Paiguano;04105
04;Punitaqui;04304
04;Rio Hurtado;04305
04;Salamanca;04204
04;Vicuna;04106
05;Algarrobo;05602
05;Cabildo;05402
05;Calera;05502
05;Calle Larga;05302
05;Cartagena;05603
05;Casablanca;05102
05;Catemu;05702
05;Concon;05103
05;El Quisco;05604
05;El Tabo;05605
05;Hijuelas;05503
05;Isla de Pascua;05201
05;Juan Fernandez;05104
05;La Cruz;05504
05;La Ligua;05401
05;Limache;05802
05;Llaillay;05703
05;Los Andes;05301
05;Nogales;05506
05;Olmue;05803
05;Panquehue;05704
05;Papudo;05403
05;Petorca;05404
05;Puchuncavi;05105
05;Putaendo;05705
05;Quillota;05501
05;Quilpue;05801
05;Quintero;05107
05;Rinconada;05303
05;San Antonio;05601
05;San Esteban;05304
05;San Felipe;05701
05;Santa Maria;05706
05;Santo Domingo;05606
05;Valparaiso;05101
05;Villa Alemana;05804
05;Vina del Mar;05109
05;Zapallar;05405
06;Chepica;06302
06;Chimbarongo;06303
06;Codegua;06102
06;Coinco;06103
06;Coltauco;06104
06;Donihue;06105
06;Graneros;06106
06;La Estrella;06202
06;Las Cabras;06107
06;Litueche;06203
06;Lolol;06304
06;Machali;06108
06;Malloa;06109
06;Marchihue;06204
06;Mostazal;06110
06;Nancagua;06305
06;Navidad;06205
06;Olivar;06111
06;Palmilla;06306
06;Paredones;06206
06;Peralillo;06307
06;Peumo;06112
06;Pichidegua;06113
06;Pichilemu;06201
06;Placilla;06308
06;Pumanque;06309
06;Quinta de Tilcoco;06114
06;Rancagua;06101
06;Rengo;06115
06;Requinoa;06116
06;San Fernando;06301
06;Santa Cruz;06310
06;San Vicente;06117
07;Cauquenes;07201
07;Chanco;07202
07;Colbun;07402
07;Constitucion;07102
07;Curepto;07103
07;Curico;07301
07;Empedrado;07104
07;Hualane;07302
07;Licanten;07303
07;Linares;07401
07;Longavi;07403
07;Maule;07105
07;Molina;07304
07;Parral;07404
07;Pelarco;07106
07;Pelluhue;07203
07;Pencahue;07107
07;Rauco;07305
07;Retiro;07405
07;Rio Claro;07108
07;Romeral;07306
07;Sagrada Familia;07307
07;San Clemente;07109
07;San Javier;07406
07;San Rafael;07110
07;Talca;07101
07;Teno;07308
07;Vichuquen;07309
07;Villa Alegre;07407
07;Yerbas Buenas;07408
08;Alto Biobio;08314
08;Antuco;08302
08;Arauco;08202
08;Cabrero;08303
08;Canete;08203
08;Chiguayante;08103
08;Concepcion;08101
08;Contulmo;08204
08;Coronel;08102
08;Curanilahue;08205
08;Florida;08104
08;Hualpen;08112
08;Hualqui;08105
08;Laja;08304
08;Lebu;08201
08;Los Alamos;08206
08;Los Angeles;08301
08;Lota;08106
08;Mulchen;08305
08;Nacimiento;08306
08;Negrete;08307
08;Penco;08107
08;Quilaco;08308
08;Quilleco;08309
08;San Pedro de la Paz;08108
08;San Rosendo;08310
08;Santa Barbara;08311
08;Santa Juana;08109
08;Talcahuano;08110
08;Tirua;08207
08;Tome;08111
08;Tucapel;08312
08;Yumbel;08313
09;Angol;09201
09;Carahue;09102
09;Cholchol;09121
09;Collipulli;09202
09;Cunco;09103
09;Curacautin;09203
09;Curarrehue;09104
09;Ercilla;09204
09;Freire;09105
09;Galvarino;09106
09;Gorbea;09107
09;Lautaro;09108
09;Loncoche;09109
09;Lonquimay;09205
09;Los Sauces;09206
09;Lumaco;09207
09;Melipeuco;09110
09;Nueva Imperial;09111
09;Padre Las Casas;09112
09;Perquenco;09113
09;Pitrufquen;09114
09;Pucon;09115
09;Puren;09208
09;Renaico;09209
09;Saavedra;09116
09;Temuco;09101
09;Teodoro Schmidt;09117
09;Tolten;09118
09;Traiguen;09210
09;Victoria;09211
09;Vilcun;09119
09;Villarrica;09120
10;Ancud;10202
10;Calbuco;10102
10;Castro;10201
10;Chaiten;10401
10;Chonchi;10203
10;Cochamo;10103
10;Curaco de Velez;10204
10;Dalcahue;10205
10;Fresia;10104
10;Frutillar;10105
10;Futaleufu;10402
10;Hualaihue;10403
10;Llanquihue;10107
10;Los Muermos;10106
10;Maullin;10108
10;Osorno;10301
10;Palena;10404
10;Puerto Montt;10101
10;Puerto Octay;10302
10;Puerto Varas;10109
10;Puqueldon;10206
10;Purranque;10303
10;Puyehue;10304
10;Queilen;10207
10;Quellon;10208
10;Quemchi;10209
10;Quinchao;10210
10;Rio Negro;10305
10;San Juan de la Costa;10306
10;San Pablo;10307
11;Aisen;11201
11;Chile Chico;11401
11;Cisnes;11202
11;Cochrane;11301
11;Coyhaique;
11;Guaitecas;11203
11;Lago Verde;11102
11;OHiggins;
11;Rio Ibanez;11402
11;Tortel;11303
12;Antartica;12202
12;Cabo de Hornos;12201
12;Laguna Blanca;12102
12;Natales;12401
12;Porvenir;12301
12;Primavera;12302
12;Punta Arenas;12101
12;Rio Verde;12103
12;San Gregorio;12104
12;Timaukel;12303
12;Torres del Paine;12402
13;Alhue;13502
13;Buin;13402
13;Calera de Tango;13403
13;Cerrillos;13102
13;Cerro Navia;13103
13;Colina;13301
13;Conchali;13104
13;Curacavi;13503
13;El Bosque;13105
13;El Monte;13602
13;Estacion Central;13106
13;Huechuraba;13107
13;Independencia;13108
13;Isla de Maipo;13603
13;La Cisterna;13109
13;La Florida;13110
13;La Granja;13111
13;Lampa;13302
13;La Pintana;13112
13;La Reina;13113
13;Las Condes;13114
13;Lo Barnechea;13115
13;Lo Espejo;13116
13;Lo Prado;13117
13;Macul;13118
13;Maipu;13119
13;Maria Pinto;13504
13;Melipilla;13501
13;Nunoa;13120
13;Padre Hurtado;13604
13;Paine;13404
13;Pedro Aguirre Cerda;13121
13;Penaflor;13605
13;Penalolen;13122
13;Pirque;13202
13;Providencia;13123
13;Pudahuel;13124
13;Puente Alto;13201
13;Quilicura;13125
13;Quinta Normal;13126
13;Recoleta;13127
13;Renca;13128
13;San Bernardo;13401
13;San Joaquin;13129
13;San Jose de Maipo;13203
13;San Miguel;13130
13;San Pedro;13505
13;San Ramon;13131
13;Santiago;13101
13;Talagante;13601
13;Tiltil;13303
13;Vitacura;13132
14;Corral;14102
14;Futrono;14202
14;Lago Ranco;14203
14;Lanco;14103
14;La Union;14201
14;Los Lagos;14104
14;Mafil;14105
14;Mariquina;14106
14;Paillaco;14107
14;Panguipulli;14108
14;Rio Bueno;14204
14;Valdivia;14101
15;Arica;15101
15;Camarones;15102
15;General Lagos;15202
15;Putre;15201
16;Bulnes;16102
16;Chillan;16101
16;Chillan Viejo;16103
16;Cobquecura;16202
16;Coelemu;16203
16;Coihueco;16302
16;El Carmen;16104
16;Ninhue;16204
16;Niquen;16303
16;Pemuco;16105
16;Pinto;16106
16;Portezuelo;16205
16;Quillon;16107
16;Quirihue;16201
16;Ranquil;16206
16;San Carlos;16301
16;San Fabian;16304
16;San Ignacio;16108
16;San Nicolas;16305
16;Treguaco;16207
16;Yungay;16109
